jurisdiction,state,city,permit_number,permit_type,status,best_date,applied_date,issued_date,valuation,square_feet,address,zipcode,latitude,longitude,owner,applicant,contractor,dc_tier,dc_score,dc_operator,dc_role,dc_signals,description,source_id
Texas,TX,,25-10343,Remodeling of Existing Structure,,2026-02-17,,2026-02-17,120000000.0,,,75074,,,"ALIGNED DATA CENTERS (PLANO) PROPCO, LLC",,ALIGNED DATA CENTER (MEGAWATT),confirmed,123.0,Aligned Data Centers,other,data_center|operator:aligned data center|valuation>=100_000_000,,socrata:data.texas.gov:82ee-gbj5
Texas,TX,,25-05973,Finish Out,,2025-09-05,,2025-09-05,82000000.0,,,75024,,,DB DATA CENTER PLANO LLC,,DATABANK,confirmed,117.0,DataBank,other,data_center|operator:databank|valuation>=50_000_000,,socrata:data.texas.gov:82ee-gbj5
Texas,TX,,25-01805,New Construction,,2025-05-08,,2025-05-08,5000000.0,,,75074,,,"ALIGNED DATA CENTERS (PLANO) PROPCO, LLC",,ALIGNED DATA CENTER SUBSTATION,confirmed,117.0,Aligned Data Centers,new_build,data_center|operator:aligned data center|substation,,socrata:data.texas.gov:82ee-gbj5
Mesa,AZ,,PMT24-15428,Other Commercial,Issued,2025-12-03,,2025-12-03,1650.0,,3261 S HAWES RD,,33.354696,-111.652901,,Matthew McPherron,Wespac Construction,confirmed,115.0,EdgeConneX,power_infrastructure,data_center|operator:edgeconnex|generators,"THIS IS A USE PERMIT FOR A TEMPORARY CONSTRUCTION FIELD OFFICE FOR USE BY THE STAFF AND FOR ON-SITE MEETINGS. THE CONSTRUCTION TRAILER MUST BE PLACED ONLY ON THE PROPERTY THAT IS BEING DEVELOPED AND OUT OF ALL BUILDING SETBACKS. NO PUBLIC USE IS PERMITTED. THIS USE PERMIT SHALL BE NON-TRANSFERABLE FROM ONE OWNER OR LESSEE TO ANOTHER AND SHALL EXPIRE ON DECEMBER 31, OF EACH YEAR UNLESS EARLIER REVOKED. ESTIMATED TIME OF CONSTRUCTION TRAILER REMOVAL *12/31/2025.PERMIT INCLUDES TEMPORARY GENERATOR. REF - BUILDING PERMIT #: PMT23-19121, PMT23-19122, PMT24-11896, PMT24-13614. EDGECONNEX DATA CENTER FACILITY.",socrata:citydata.mesaaz.gov:2gkz-7z4f
Mesa,AZ,,PMT24-20204,Tenant Improvement (Interior Only),Issued,2025-06-09,,2025-06-09,569495023.35,853623.0,3856 S EVERTON TERR,,33.344193,-111.618781,,Hunter West,HOLDER CONSTRUCTION GROUP LLC,confirmed,110.5,,expansion,data_center|data_hall|valuation>=250_000_000|sqft>=500_000,"Tenant improvement in existing 868,431sf 3-story addition for a data center., IB construction, B/ S-1/ S-2 Occupancy. First, second, and third floor build out and installation of electrical, mechanical, and plumbing equipment. Special inspection for fire caulking and emergency responder radio coverage. Deferred fire sprinklers and fire alarms. • 1st floor buildout includes support spaces, and 2 data hall • 2nd floor buildout includes storage, office, support spaces, and a data hall • 3rd floor buildout includes support spaces and a data hall • Install of electrical mechanical and plumbing equip Special inspection req. - Steel, concrete, soils, deep foundations, spray fire resistance material, Mastic & intumescent coating, smoke control. REF: PMT23-18893 Civil, PMT23-19680 Foundation, PMT23-20558 Shell + TKD Phase 1, PMT24-13760 TKD Phase 2. Results in CoC.",socrata:citydata.mesaaz.gov:2gkz-7z4f
Texas,TX,,24-15894,Remodeling of Existing Structure,,2025-01-23,,2025-01-23,100000.0,,,75024,,,DB DATA CENTER PLANO LLC,,DATABANK PLANO,confirmed,105.0,DataBank,other,data_center|operator:databank,,socrata:data.texas.gov:82ee-gbj5
Texas,TX,,23-20452,New Construction,,2024-04-26,,2024-04-26,65000.0,,,75074,,,ALIGNED DATA CENTERS (DFW) PROPCO LLC,,ALIGNED DATA CENTER,confirmed,105.0,Aligned Data Centers,new_build,data_center|operator:aligned data center,,socrata:data.texas.gov:82ee-gbj5
Mesa,AZ,,PMT24-19524,Tenant Improvement (Interior Only),Issued,2025-04-15,,2025-04-15,294884823.73,478361.0,3856 S EVERTON TERR,,33.344193,-111.618781,,Hunter West,HOLDER CONSTRUCTION GROUP LLC,confirmed,104.5,,fitout,data_center|data_hall|valuation>=250_000_000|sqft>=200_000,"Tenant improvement for existing (2) story 490,782 SF shell space data center, Group B/S-1/S-2 occupancy, Type I-B Construction. Modifications of existing 1st level warehouse into 3 data halls. Special inspection req. - Steel, concrete, soils, deep foundations, spray fire resistance material, fire caulking, Mastic & intumescent coating, smoke control. REF: PMT24-02625 Civil, PMT24-09780 Shell, PMT24-11335 Phase 1. Results in CoO at completion of all phases. Result in TCO. Phasing plan.",socrata:citydata.mesaaz.gov:2gkz-7z4f
Mesa,AZ,,PMT24-15709,Commercial/Industrial Projects,Issued,2025-03-25,,2025-03-25,59753691.36,229416.0,10464 E PECOS RD,,33.292231,-111.608239,,Joy Hughes,RYAN COMPANIES,confirmed,101.5,,new_build,data_center|data_hall|generators|valuation>=50_000_000|sqft>=200_000,"Development of 229,416 SF, Type II-B construction, group B occupancy single story data center. The development building is designed with tilt wall construction and contains 94,951 square feet of data hall space and 9,512 square feet of office space located centrally between south and north data hall spaces. The building will have supported chiller cooling platforms on south and north side of the buildings. A NEW DATA CENTER BUILDING. WORK INCLUDES CONSTRUCTION OF NEW EXTERIOR AND INTERIOR PARTITIONS, CEILINGS, FINISHES, MECHANICAL, ELECTRICAL, PLUMBING & FIRE PROTECTION AS INDICATED ON DRAWINGS. DEFERRED FIRE SPRINKLERS. DEFERRED FIRE ALARM. DEFERRED DATA HALL RACKING SYSTEM. DEFERRED GENERATOR PLATFORM AND STAIRS. SPECIAL INSPECTIONS REQUIRED - EMERGENCY RESPONDER RADIO COVERAGE IFC 510, Concrete, Steel, Soils, Open-we Steel Joist and girders, post-installed anchoring and bolting Fire pump house by separate permit. Water Meters: (2) 2-inch Domestic and (1) 2-inch Landscape. Ref PMT24-15751 for site improvements. Results in CoC. Forthcoming TCO for phases. CoO will be provided at project completion. Landscape meters is 10464 E PECOS RD LD1. Code modification for refrigerants: PMT25-18602",socrata:citydata.mesaaz.gov:2gkz-7z4f
Mesa,AZ,,PMT23-20558,Commercial/Industrial Projects,Issued,2024-03-28,,2024-03-28,171779424.64,868431.0,3856 S EVERTON TERR,,33.344193,-111.618781,,Hunter West,HOLDER CONSTRUCTION GROUP LLC,confirmed,96.0,,expansion,data_center|valuation>=100_000_000|sqft>=500_000,"New 868,431sf 3-story addition for a data center. IB construction. B/ S-1/ S-2 Occupancy. Special inspection required for fabricator, steel, concrete, foundation, anchoring. 2-2"" domestic meters install with this permit, related to site improvement permit PMT23-18893, and foundation permit PMT23-19380. Special inspection for fire caulking. Deferred fire sprinklers and fire alarms/VESDA. Results in CoC.",socrata:citydata.mesaaz.gov:2gkz-7z4f
